Wavelength_nm,Reconstructed_1,Reconstructed_2,Reconstructed_3,Reconstructed_4,Reconstructed_5,Reconstructed_6
374,4.09304927280151e-08,2.00077375187082e-19,1.03881111460318e-91,3.05692520450981e-243,1.50535314118973e-05,7.49340052163001e-58
375,1.55382812092181e-07,1.35531663639567e-18,1.12589880540202e-89,7.39370236531717e-240,9.93162703300982e-06,2.83188832806306e-56
376,5.5858626895823e-07,8.68562665610132e-18,1.15446223132374e-87,1.6918299761668e-236,6.19897717887647e-06,1.01249036972856e-54
377,1.90157046678205e-06,5.26597928527083e-17,1.11989601883395e-85,3.66242776344779e-233,3.66047473090719e-06,3.42470587743276e-53
378,6.13017320449812e-06,3.0204714528227e-16,1.02776369500093e-83,7.50065205953994e-230,2.04490495107583e-06,1.09590588077849e-51
379,1.87143239576407e-05,1.63903385753257e-15,8.92331952788375e-82,1.45327088360578e-226,1.08076265973305e-06,3.31772844352654e-50
380,5.4102733468043e-05,8.41431399895892e-15,7.32954839956144e-80,2.66386201738613e-223,5.40412859436348e-07,9.50224043355875e-49
381,0.000148118809279119,4.08664680529182e-14,5.69568010987122e-78,4.61949476045265e-220,2.55709577679708e-07,2.5747128140984e-47
382,0.000384015828813931,1.87772978507704e-13,4.18727575859089e-76,7.57870203347368e-217,1.14619173746769e-07,6.60007961221837e-46
383,0.000942839207596844,8.16237767938715e-13,2.91229346935741e-74,1.17628561661766e-213,4.8942103566224e-08,1.60061600136429e-44
384,0.00219218476720518,3.35674134022669e-12,1.91626827720094e-72,1.72722271550911e-210,2.04813611690236e-08,3.67233874434313e-43
385,0.00482690625548613,1.30598042870194e-11,1.19287540504882e-70,2.39939359777328e-207,9.51766203241654e-09,7.97105701188733e-42
386,0.010064998428669,4.8069882497972e-11,7.02508298534443e-69,3.15335053499312e-204,6.73581157707675e-09,1.63684176000109e-40
387,0.019875243033696,1.67389053144752e-10,3.91404156805975e-67,3.92067285841182e-201,8.23429128431748e-09,3.17991182649195e-39
388,0.0371676966726784,5.5144048223577e-10,2.06308446506619e-65,4.61175855404965e-198,1.27180129227603e-08,5.84441517460317e-38
389,0.0658224030397779,1.71865156619607e-09,1.02878869761757e-63,5.13204100939612e-195,2.00036763069988e-08,1.01621275541081e-36
