Wavelength_nm,Reconstructed
877,6.54505535299205e-10
877.009375,8.483759649401e-10
877.01875,1.09754524978001e-09
877.028125,1.41714917310551e-09
877.0375,1.82628168983543e-09
877.046875,2.3489784638195e-09
877.05625,3.01543094220265e-09
877.065625,3.86348143283371e-09
877.075,4.9404598173441e-09
877.084375,6.30543454000844e-09
877.09375,8.03196464790635e-09
877.103125,1.02114562414464e-08
877.1125,1.29572460855195e-08
877.121875,1.64095577249835e-08
877.13125,2.07415016798566e-08
877.140625,2.61663216416682e-08
877.15,3.29461235633711e-08
877.159375,4.14023646874851e-08
877.16875,5.19284254708565e-08
877.178125,6.50046396556847e-08
877.1875,8.12162170446532e-08
877.196875,1.01274560500667e-07
877.20625,1.26042553973213e-07
877.215625,1.56564482571469e-07
877.225,1.9410133946429e-07
877.234375,2.4017237824058e-07
877.24375,2.96603883737127e-07
877.253125,3.65586259623374e-07
877.2625,4.49740667370086e-07
877.271875,5.52196598638889e-07
877.28125,6.76681921398093e-07
877.290625,8.27627108582696e-07
877.3,1.01028553612825e-06
877.309375,1.23087192332061e-06
877.31875,1.4967211809323e-06
877.328125,1.81647012935914e-06
877.3375,2.2002647468427e-06
877.346875,2.65999580368246e-06
877.35625,3.20956592754242e-06
877.365625,3.8651913226765e-06
877.375,4.64574152645492e-06
877.384375,5.57312072271665e-06
877.39375,6.67269423644737e-06
877.403125,7.97376389879781e-06
877.4125,9.51009598653593e-06
877.421875,1.13205053958289e-05
877.43125,1.3449499594507e-05
877.440625,1.59479857000099e-05
877.45,1.88740437379782e-05
877.459375,2.22937687373413e-05
877.46875,2.62821837999291e-05
877.478125,3.0924225630683e-05
877.4875,3.63158032209023e-05
877.496875,4.25649294261082e-05
877.50625,4.9792924064234e-05
877.515625,5.81356858722913e-05
877.525,6.77450291881225e-05
877.534375,7.87900795744868e-05
877.54375,9.14587207661226e-05
877.553125,0.000105959083304998
877.5625,0.000122521063045815
877.571875,0.000141397855363477
877.58125,0.000162867488414297
877.590625,0.000187234336198761
877.6,0.000214830589485904
877.609375,0.000246017659930568
877.61875,0.000281187489964976
877.628125,0.000320763738362899
877.6375,0.000365202808779281
877.646875,0.00041499468614332
877.65625,0.000470663543607849
877.665625,0.000532768080863603
877.675,0.000601901553160174
877.684375,0.00067869144935159
877.69375,0.00076379877682255
877.703125,0.000857916911350137
877.7125,0.000961769970822061
877.721875,0.00107611067346059
877.73125,0.00120171764374759
877.740625,0.0013393921327357
877.75,0.0014899541239388
877.759375,0.00165423780143797
877.76875,0.0018330863634311
877.778125,0.0020273461720114
877.7875,0.00223786023856975
877.796875,0.00246546105387341
877.80625,0.00271096278233014
877.815625,0.00297515285141173
877.825,0.00325878297928081
877.834375,0.00356255969636584
877.84375,0.00388713442984112
877.853125,0.00423309323323552
877.8625,0.00460094625693821
877.871875,0.00499111706853992
877.88125,0.00540393194474193
877.890625,0.0058396092687791
877.9,0.00629824917830499
877.909375,0.00677982361880634
877.91875,0.00728416696600189
877.928125,0.00781096738742485
877.9375,0.0083597591183072
877.946875,0.00892991582929058
877.95625,0.00952064526396468
877.965625,0.0101309853218701
877.975,0.0107598017577295
877.984375,0.0114057876602773
877.99375,0.0120674648635535
878.003125,0.0127431874308799
878.0125,0.0134311473361139
878.021875,0.0141293824488577
878.03125,0.0148357869103404
878.040625,0.0155481239642809
878.05,0.0162640412835461
878.059375,0.0169810888081261
878.06875,0.017696739083865
878.078125,0.0184084100649342
878.0875,0.0191134903159793
878.096875,0.0198093665237545
878.10625,0.0204934532022064
878.115625,0.0211632244504895
878.125,0.0218162476006534
878.134375,0.0224502185705028
878.14375,0.0230629987187439
878.153125,0.0236526529832316
878.1625,0.0242174890697456
878.171875,0.0247560974483505
878.18125,0.0252673919065513
878.190625,0.0257506504040188
878.2,0.0262055559716022
878.209375,0.0266322373980515
878.21875,0.0270313094509853
878.228125,0.0274039123834358
878.2375,0.027751750484053
878.246875,0.0280771294365959
878.25625,0.0283829922626221
878.265625,0.0286729536297033
878.275,0.0289513323152404
878.284375,0.0292231816229829
878.29375,0.0294943175546767
878.303125,0.0297713445427211
878.3125,0.0300616785508924
878.321875,0.0303735673485322
878.33125,0.0307161077593074
878.340625,0.0310992596782093
878.35,0.03153385664013
878.359375,0.0320316127103444
878.36875,0.03260512545147
878.378125,0.033267874703986
878.3875,0.034034216898192
878.396875,0.0349193745955666
878.40625,0.0359394209378864
878.415625,0.0371112586633722
878.425,0.0384525933327572
878.434375,0.03998190039452
878.44375,0.0417183857093135
878.453125,0.0436819391504453
878.4625,0.0458930808997663
878.471875,0.0483729000699942
878.48125,0.0511429853041284
878.490625,0.0542253470323586
878.5,0.0576423311081689
878.509375,0.0614165235961252
878.51875,0.0655706465488099
878.528125,0.0701274446856168
878.5375,0.075109562973883
878.546875,0.0805394152137165
878.55625,0.0864390438368903
878.565625,0.0928299712534628
878.575,0.0997330432093861
878.584375,0.107168264756679
878.59375,0.115154629584232
878.603125,0.123709943603447
878.6125,0.132850643837058
878.621875,0.142591613808917
878.63125,0.152945996780646
878.640625,0.163925008326503
878.65,0.175537749868736
878.659375,0.187791024924059
878.66875,0.200689159920386
878.678125,0.214233831537318
878.6875,0.228423902603051
878.696875,0.243255268629836
878.70625,0.258720717107366
878.715625,0.274809801677112
878.725,0.291508733290487
878.734375,0.308800290409947
878.74375,0.32666375022895
878.753125,0.345074842788004
878.7625,0.364005729725651
878.771875,0.383425009239701
878.78125,0.403297748647657
878.790625,0.423585545709667
878.8,0.444246619643107
878.809375,0.465235932488484
878.81875,0.486505341201222
878.828125,0.50800378054694
878.8375,0.529677476552884
878.846875,0.551470189950541
878.85625,0.573323488706135
878.865625,0.595177048399512
878.875,0.616968978882205
878.884375,0.638636175306526
878.89375,0.66011469130638
878.903125,0.681340131798291
878.9125,0.702248062581669
878.921875,0.722774433654251
878.93125,0.742856012906363
878.940625,0.762430826651734
878.95,0.781438603264064
878.959375,0.799821216039691
878.96875,0.817523121299194
878.978125,0.834491787659493
878.9875,0.850678112383772
878.996875,0.866036820721387
879.00625,0.880526844202783
879.015625,0.894111673953842
879.025,0.906759685226588
879.034375,0.918444429531435
879.04375,0.929144890975795
879.053125,0.938845703678046
879.0625,0.947537327430502
879.071875,0.955216179118627
879.08125,0.961884717779816
879.090625,0.967551481583743
879.1,0.972231075444789
879.109375,0.975944108428742
879.11875,0.978717080582241
879.128125,0.980582219298199
879.1375,0.98157726581994
879.146875,0.981745212981964
879.15625,0.981133995778367
879.165625,0.97979613683581
879.175,0.977788349341892
879.184375,0.975171100435295
879.19375,0.972008138496935
879.203125,0.968365988184597
879.2125,0.964313417425059
879.221875,0.959920880908586
879.23125,0.955259944920451
879.240625,0.950402698586534
879.25,0.945421156800719
879.259375,0.940386660242049
879.26875,0.935369277970043
879.278125,0.93043721811228
879.2875,0.925656252124262
879.296875,0.921089158007051
879.30625,0.916795187718107
879.315625,0.912829563798943
879.325,0.909243009978968
879.334375,0.906081320196252
879.34375,0.903384970106963
879.353125,0.901188774743038
879.3625,0.899521595521588
879.371875,0.89840609932039
879.38125,0.897858571813823
879.390625,0.89788878672012
879.4,0.898499932051041
879.409375,0.899688593884238
879.41875,0.901444797605268
879.428125,0.903752105995977
879.4375,0.906587772987011
879.446875,0.909922951349114
879.45625,0.913722952079786
879.465625,0.917947552752095
879.475,0.922551351637797
879.484375,0.927484164003335
879.49375,0.932691456605093
879.503125,0.93811481608941
879.5125,0.943692446729931
879.521875,0.949359692715682
879.53125,0.955049580039893
879.540625,0.960693372927367
879.55,0.966221139685624
879.559375,0.971562322862812
879.56875,0.976646308647081
879.578125,0.981402990545602
879.5875,0.985763322529194
879.596875,0.989659857025447
879.60625,0.993027263377678
879.615625,0.995802822660127
879.625,0.997926895046298
879.634375,0.999343356260222
879.64375,1
879.653125,0.999848903599556
879.6625,0.998846754587121
879.671875,0.996955136201146
879.68125,0.994140770332806
879.690625,0.990375716773965
879.7,0.98563752805694
879.709375,0.979909359574233
879.71875,0.973180035056913
879.728125,0.965444067871452
879.7375,0.956701638956209
879.746875,0.946958532565055
879.75625,0.936226031310729
879.765625,0.924520772300347
879.775,0.911864566437652
879.784375,0.898284183214926
879.79375,0.883811103545403
879.803125,0.868481243385399
879.8125,0.852334651061261
879.821875,0.835415181363036
879.83125,0.817770149572028
879.840625,0.799449968675003
879.85,0.780507773071087
879.859375,0.760999032096962
879.86875,0.740981156699324
